,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Return_A,Return_B,Strategy_Return,Cumulative_Return
2023-07-10,250.20639038085938,289.7243347167969,-86.33350673670458,-0.06108165605334967,0,0,0.005911850668750107,0.024668957551143844,0.0,1.4272772314696105
2023-07-11,254.5399627685547,292.88043212890625,-85.66601472642236,-0.019281691403762506,0,0,0.017319990832763477,0.010893449510185116,0.0,1.4272772314696105
2023-07-12,256.3220520019531,296.4846496582031,-88.07053618171375,-0.16985864256136288,0,0,0.007001215895591439,0.01230610561142087,0.0,1.4272772314696105
2023-07-13,259.33111572265625,293.75811767578125,-81.89436951900564,0.216907856803934,0,0,0.01173938682685094,-0.009196199484746037,0.0,1.4272772314696105
2023-07-14,260.0517883300781,295.53228759765625,-83.23454887129407,0.13298258326234078,0,0,0.0027789669797766425,0.006039560492531182,0.0,1.4272772314696105
2023-07-17,260.82110595703125,295.112060546875,-81.97710114448523,0.21172700225110141,0,0,0.0029583246932978202,-0.0014219327918354452,0.0,1.4272772314696105
2023-07-18,260.684814453125,295.7750549316406,-82.8835180237993,0.15496498423518865,0,0,-0.0005225478337198552,0.002246585190510464,0.0,1.4272772314696105
2023-07-19,260.99639892578125,298.3148193359375,-85.52208978210103,-0.010268763170686472,0,0,0.0011952536372703548,0.008586810692618574,0.0,1.4272772314696105
2023-07-20,259.3603515625,297.9506530761719,-86.73512650764968,-0.0862320578101928,0,0,-0.006268467189643023,-0.0012207447842392805,-0.0,1.4272772314696105
2023-07-21,261.6976318359375,299.2392578125,-85.89467219400939,-0.03360077525011561,0,0,0.009011709998682171,0.004324893142619413,0.0,1.4272772314696105
2023-07-24,261.0061950683594,303.5718688964844,-91.61881182336055,-0.39206024812832424,0,0,-0.0026421208427732656,0.014478752272200746,0.0,1.4272772314696105
2023-07-25,268.7383728027344,303.59051513671875,-83.90829331128128,0.09079107633716511,0,0,0.029624498883445538,6.142281991472487e-05,0.0,1.4272772314696105
2023-07-26,273.5491027832031,307.7550354003906,-83.9350141526433,0.08911775260124884,0,0,0.017901165100824734,0.013717557222749255,0.0,1.4272772314696105
2023-07-27,269.8095703125,307.8670959472656,-87.80471464997458,-0.15321225510108713,0,0,-0.013670424916973012,0.0003641225454822372,0.0,1.4272772314696105
2023-07-28,272.7894592285156,309.41717529296875,-86.62537708922196,-0.07935928369466136,0,0,0.011044415187215995,0.005034897740317845,0.0,1.4272772314696105
2023-07-31,269.2642517089844,311.7234802246094,-92.82955745090248,-0.46788006866744597,0,0,-0.012922814281391193,0.007453706890889089,0.0,1.4272772314696105
2023-08-01,272.867431640625,310.07080078125,-87.306647268159,-0.12202207060104854,0,0,0.013381575566647763,-0.005301748338522816,0.0,1.4272772314696105
2023-08-02,270.4133605957031,306.7373046875,-85.88857400898223,-0.03321889214944151,0,0,-0.008993638523171033,-0.010750757844179337,-0.0,1.4272772314696105
2023-08-03,266.0798034667969,307.9978942871094,-91.6864150910286,-0.3962937283126441,0,0,-0.016025676835492497,0.0041096716321924465,0.0,1.4272772314696105
2023-08-04,266.4012145996094,304.80438232421875,-87.65546334097564,-0.14386577702500855,0,0,0.0012079501285884309,-0.010368616221491767,0.0,1.4272772314696105
2023-08-07,267.1412353515625,307.3629150390625,-89.88739983751225,-0.2836350405041448,0,0,0.0027778430104583585,0.008394015516884012,0.0,1.4272772314696105
2023-08-08,265.6707763671875,306.093017578125,-89.88276298200373,-0.28334466939354597,0,0,-0.005504425336806729,-0.004131589722774831,-0.0,1.4272772314696105
2023-08-09,264.40484619140625,306.4664611816406,-91.58248023345197,-0.3897850760656662,0,0,-0.004765033599448576,0.001220033068608961,0.0,1.4272772314696105
2023-08-10,265.719482421875,307.57763671875,-91.55857058728577,-0.3882877961744674,0,0,0.004972057998956059,0.0036257655497604624,0.0,1.4272772314696105
2023-08-11,266.5570068359375,309.17431640625,-92.57572785982103,-0.4519846455450957,0,0,0.003151911957786968,0.005191143623227701,0.0,1.4272772314696105
2023-08-14,269.390869140625,308.0912170410156,-88.48375187510595,-0.19573520903763567,0,0,0.010631355515001273,-0.0035031996765578777,0.0,1.4272772314696105
2023-08-15,268.05670166015625,310.13616943359375,-92.1933085974942,-0.42803662609266163,0,0,-0.004952534155017285,0.006637490066150997,0.0,1.4272772314696105
2023-08-16,265.92401123046875,310.9671630859375,-95.29127009610482,-0.6220384705086806,0,0,-0.007956116808418123,0.002679447720855599,0.0,1.4272772314696105
2023-08-17,261.595458984375,305.59814453125,-93.38324247815973,-0.5025531646893343,0,0,-0.016277402804150354,-0.017265548237978212,-0.0,1.4272772314696105
2023-08-18,263.6645812988281,305.6820983886719,-91.41163983725073,-0.3790866371151923,0,0,0.007909626269837933,0.000274719787813682,0.0,1.4272772314696105
2023-08-21,263.8890686035156,302.5914001464844,-87.59703895282564,-0.14020710048397955,0,0,0.0008514124406913126,-0.010110825130026813,0.0,1.4272772314696105
2023-08-22,263.91839599609375,302.9836120605469,-88.0232996534462,-0.1669005768746772,0,0,0.0001111353067155818,0.0012961766721479862,0.0,1.4272772314696105
2023-08-23,265.51898193359375,304.4869384765625,-88.16895749582943,-0.17602202337705541,0,0,0.0060647001564972935,0.0049617416790028734,0.0,1.4272772314696105
2023-08-24,262.7667236328125,301.21881103515625,-87.12500284137843,-0.11064705711585054,0,0,-0.010365580195956015,-0.010733227040074844,-0.0,1.4272772314696105
2023-08-25,258.2770690917969,301.4709777832031,-91.90757089111645,-0.41014303959026444,0,0,-0.017086084870051588,0.000837154715471744,0.0,1.4272772314696105
2023-08-28,259.9656066894531,304.3188171386719,-93.52704525121874,-0.5115584422623762,0,0,0.006537698463103148,0.009446479314226819,0.0,1.4272772314696105
2023-08-29,263.9671325683594,307.5589599609375,-93.28922576969671,-0.4966656109363492,0,0,0.01539252030245053,0.010647198397820912,0.0,1.4272772314696105
2023-08-30,263.6352844238281,310.6976318359375,-97.26691302170508,-0.745758010485469,0,0,-0.0012571570608144178,0.010205106284006948,0.0,1.4272772314696105
2023-08-31,265.1968994140625,310.38751220703125,-95.34506723446754,-0.6254073774726149,0,0,0.0059233914521239495,-0.0009981396609742843,0.0,1.4272772314696105
2023-09-01,268.222412109375,312.99993896484375,-95.3541143843292,-0.6259739318861081,0,0,0.01140855229452975,0.008416661930876979,0.0,1.4272772314696105
2023-09-05,263.1180114746094,308.0194396972656,-94.67323394236627,-0.5833355512519903,0,0,-0.01903047770923838,-0.01591214133794938,-0.0,1.4272772314696105
2023-09-06,262.61053466796875,306.34674072265625,-93.23772607920364,-0.4934405757165793,0,0,-0.0019287041726886445,-0.005430498075879142,-0.0,1.4272772314696105
2023-09-07,264.650390625,308.6208801269531,-93.83947991964135,-0.5311238571200746,0,0,0.0077676090169434,0.007423416351459489,0.0,1.4272772314696105
2023-09-08,264.93341064453125,308.8933410644531,-93.87294686681395,-0.5332196383237369,0,0,0.0010694109268565288,0.0008828337777662121,0.0,1.4272772314696105
2023-09-11,267.08056640625,308.5738525390625,-91.35467752373063,-0.3755195192249088,0,0,0.008104511078822263,-0.0010343004620613216,0.0,1.4272772314696105
2023-09-12,262.2786865234375,306.60986328125,-93.87521385488634,-0.5333616026017017,0,0,-0.01797914369968978,-0.006364730004347563,-0.0,1.4272772314696105
2023-09-13,262.01519775390625,306.23394775390625,-93.70204419522207,-0.5225172995376292,0,0,-0.001004613729860604,-0.0012260385994136147,-0.0,1.4272772314696105
2023-09-14,261.6344909667969,309.7579345703125,-98.17616675217448,-0.8026976789843577,0,0,-0.0014529950566720684,0.011507498898319923,0.0,1.4272772314696105
2023-09-15,255.34909057617188,302.0240478515625,-95.47798817215067,-0.6337312081863279,0,0,-0.024023592483540912,-0.0249675177150126,-0.0,1.4272772314696105
