,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Signal,Return_A,Return_B,Strategy_Return,Cumulative_Return,Transaction_Cost,Net_Return,Gross_Cumulative,Net_Cumulative
2022-03-25,235.8092498779297,280.6191711425781,-90.15421148562189,-0.30034343144708436,0,0,EXIT,-0.01888522750106103,-0.016150496732602382,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-28,240.97332763671875,283.8708190917969,-88.76720432520796,-0.21348568726297973,0,0,EXIT,0.021899385886950284,0.011587404866101103,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-29,249.4071044921875,286.968994140625,-83.93222600768053,0.08929235298459999,0,0,EXIT,0.034998798158205835,0.01091403145536507,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-30,243.31021118164062,278.6139831542969,-80.32405073811145,0.31524501817640393,0,0,EXIT,-0.024445547864246464,-0.029114681923559593,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-31,240.05015563964844,270.367431640625,-74.00502276715451,0.7109578383104991,0,0,HOLD,-0.013398761713121932,-0.029598483968067413,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-01,245.4258575439453,272.67974853515625,-71.31527712037882,0.8793962184254441,0,0,HOLD,0.022394077979131177,0.008552497911822554,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-04,249.10902404785156,276.0126953125,-71.50361684200936,0.8676019293777877,0,0,HOLD,0.01500724716117885,0.012222934762293303,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-05,248.0800323486328,275.3623046875,-71.77712352393507,0.8504742792189688,0,0,HOLD,-0.004130688172183983,-0.0023563793841571146,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-06,252.5614013671875,269.6539001464844,-60.66494843651259,1.5463455685815133,0,0,HOLD,0.01806420684538179,-0.02073052281972254,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-07,253.71534729003906,273.4564514160156,-63.92799501200676,1.3420056972354206,0,0,HOLD,0.004568971808854849,0.014101599374107376,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-08,253.6480712890625,281.0076599121094,-72.76665341299042,0.7885075234450153,0,0,HOLD,-0.00026516330878345595,0.027613934346737867,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-11,251.0900421142578,277.0423583984375,-70.71864159108111,0.9167589788018384,0,0,HOLD,-0.01008495417215105,-0.014111008628419963,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-12,247.0991668701172,276.65399169921875,-74.25839529195639,0.6950910377844266,0,0,HOLD,-0.0158941995888654,-0.0014018314797198395,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-13,248.4935302734375,280.3843078613281,-77.1971170560916,0.5110611708143519,0,0,HOLD,0.00564293041122732,0.013483688195487842,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-14,243.20436096191406,275.0553283691406,-76.29621534097714,0.5674778159044033,0,0,HOLD,-0.021284937703220486,-0.019005983369165924,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-18,236.73240661621094,271.1622314453125,-78.24600057204748,0.4453775473205614,0,0,EXIT,-0.02661117720136863,-0.014153868412261295,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-19,242.57931518554688,278.0179138183594,-80.36256059692255,0.31283343764484994,0,0,EXIT,0.02469838689560966,0.02528258576611364,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-20,243.38711547851562,284.6477355957031,-87.25587226279578,-0.11884241691745628,0,0,EXIT,0.003330046060814773,0.023846743133520754,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-21,241.9638671875,280.3301696777344,-83.66389395487266,0.10609595534828611,0,0,EXIT,-0.005847673112101326,-0.015168102106742798,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-22,235.5303192138672,271.0718994140625,-79.34315949976718,0.37667080074201825,0,0,EXIT,-0.026588878944670657,-0.033026307066111094,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-04-25,238.51150512695312,275.43463134765625,-81.42966442293198,0.2460088142523178,0,0,EXIT,0.012657333981613395,0.01609437179960027,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-26,260.96630859375,270.9364929199219,-53.74988375437533,1.9793836496526789,0,0,HOLD,0.09414557781958899,-0.01633105614107322,0.0,1.0,0.0,0.0,0.0,0.0
